Date/Time,Cooling Load(kWh),Site Outdoor Air Drybulb Temperature [C](Hourly),Site Outdoor Air Wetbulb Temperature [C](Hourly),Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Site Wind Speed [m/s](Hourly),Chiller Electricity Energy(kWh)
 09/02  09:00:00,670.7262933,28.95833333,24.78712466,0.018132066,0.408333333,460.9316958
 09/02  10:00:00,665.8699911,30.25833333,25.07653827,0.01805974,1.05,421.7133322
 09/02  11:00:00,661.8072881,31.55833333,25.24781779,0.017806709,1.708333333,382.2201856
 09/02  12:00:00,649.4626644,32.15833333,25.53015583,0.018037523,2,370.7307664
 09/02  13:00:00,595.454745,32.25833333,25.98457027,0.018785677,2,356.1472172
 09/02  14:00:00,659.5731644,32.35833333,26.33024579,0.019354426,2,378.7656703
 09/02  15:00:00,668.6482397,31,26.00326902,0.019363035,1.825,380.0771536
 09/02  16:00:00,670.6252467,28.54166667,25.04713812,0.018783788,1.466666667,368.4913394
 09/02  17:00:00,638.6554503,26.1,24.07760146,0.018234574,1.125,339.6453653
 09/02  18:00:00,538.3077853,25.33333333,23.83440678,0.018170082,1.175,308.1371119
 09/02  19:00:00,410.4435997,25.73333333,24.16555084,0.018529918,1.533333333,275.145891
 09/02  20:00:00,395.4038233,26.13333333,24.47266826,0.018857317,1.875,275.3490165
 09/02  21:00:00,294.1280153,26.35833333,24.63303507,0.019012091,2,249.6655556
 09/02  22:00:00,0,26.45833333,24.72959288,0.019119874,2,0
 09/02  23:00:00,0,26.5,24.76974415,0.019168317,2,0
 09/02  24:00:00,0,26.55833333,24.82596329,0.019236386,2,0
 09/03  01:00:00,0,26.65833333,24.92233643,0.01935354,2,0
 09/03  02:00:00,0,26.75833333,25.0189747,0.019459718,2,0
 09/03  03:00:00,0,26.74166667,25.08360575,0.01956606,2,0
 09/03  04:00:00,0,26.58333333,25.06753823,0.019618788,2,0
 09/03  05:00:00,0,26.44166667,24.98699036,0.019553413,2,0
 09/03  06:00:00,0,26.51666667,25.13928179,0.019764107,1.825,0
 09/03  07:00:00,0,26.775,25.36749182,0.020029269,1.466666667,0
 09/03  08:00:00,458.6989639,27.01666667,25.62534055,0.020352487,1.125,389.7583683
 09/03  09:00:00,592.3911869,27.85833333,25.83795405,0.020361504,1.408333333,472.8505014
