Date/Time,Cooling Load(kWh£©,Site Outdoor Air Drybulb Temperature [C](Hourly),Site Outdoor Air Wetbulb Temperature [C](Hourly),Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Site Wind Speed [m/s](Hourly),Chiller Electricity Energy(kWh£©
 05/02  23:00:00,0,24,23.99999255,0.018942935,1.833333333,0
 05/02  24:00:00,0,24,23.99999255,0.018942935,1.583333333,0
 05/03  01:00:00,0,23.88333333,23.74082086,0.01858114,1.416666667,0
 05/03  02:00:00,0,23.68333333,23.29636745,0.017980851,0.416666667,0
 05/03  03:00:00,0,23.48333333,22.92386847,0.017499437,0.408333333,0
 05/03  04:00:00,0,23.225,22.54585855,0.017035944,1.05,0
 05/03  05:00:00,0,22.98333333,22.11312749,0.016493179,1.708333333,0
 05/03  06:00:00,0,22.9,22.21525643,0.016679769,2,0
 05/03  07:00:00,0,22.95833333,22.75836842,0.017460121,2,0
 05/03  08:00:00,0,22.59166667,21.89143873,0.016324274,2,0
 05/03  09:00:00,0,22.70833333,22.20859042,0.016731956,2.583333333,0
 05/03  10:00:00,0,23,22.99999957,0.017784582,3,0
 05/03  11:00:00,0,22.59166667,21.67708546,0.015999168,3,0
 05/03  12:00:00,0,22.70833333,21.62877454,0.015873121,3,0
 05/03  13:00:00,0,22.41666667,22.11825616,0.016705956,3,0
 05/03  14:00:00,0,21.94166667,20.68141313,0.014868617,3.583333333,0
 05/03  15:00:00,0,21.95833333,21.06197953,0.01540206,3.416666667,0
 05/03  16:00:00,0,22.58333333,22.16364202,0.016729684,3,0
 05/03  17:00:00,0,21.95,20.81975946,0.015082304,3,0
 05/03  18:00:00,0,21.66666667,21.07993518,0.015565695,2.416666667,0
 05/03  19:00:00,0,21.59166667,21.38875536,0.016019299,1.416666667,0
 05/03  20:00:00,0,20.95,20.33569496,0.014804944,1.583333333,0
 05/03  21:00:00,0,20.875,20.54081222,0.015110656,2.583333333,0
 05/03  22:00:00,0,21,20.99999757,0.015690524,3,0
 05/03  23:00:00,0,21,20.99999757,0.015690524,1.833333333,0
 05/03  24:00:00,0,21.58333333,21.17351079,0.015690094,1,0
 05/04  01:00:00,0,21.41666667,21.12513825,0.015691817,1.583333333,0
 05/04  02:00:00,0,20.825,20.28898431,0.014787942,1.416666667,0
